news_headline,news_article,news_category
"Pant will be key player in WTC final, England series: Ex-selector More ","Ex-India selector Kiran More said wicketkeeper-batsman Rishabh Pant will once again be the ""key player"" for Team India in the upcoming World Test Championship (WTC) final and also in the England series. ""He's on top of his game at the moment and feels confident enough to change the course of the game with the bat from any position,"" he added.",sports
Captain Chhetri gives an unreal sense of security: Goalkeeper Sandhu,"Indian football team goalkeeper Gurpreet Singh Sandhu said that captain Sunil Chhetri gives an unreal sense of security that he will deliver when the team needs it the most. ""He's always talking to the boys in attack about the passing of a mantle, then goes and does things himself,"" he added. Chhetri's brace helped India defeat Bangladesh 2-0 on Monday.",sports
"My form hasn't dipped, it's a matter of a couple of matches: Chahal ","Leg-spinner Yuzvendra Chahal, during an interview, said that his form hasn't dipped in the past year and it's a ""matter of a couple of matches"". ""People have got used to seeing me taking wickets. I've worked hard to reach this level...will [be] back in wicket-taking mode again,"" he added. Chahal picked four wickets in seven games in now-suspended IPL 2021. ",sports
I'm backing Pujara to get the highest runs in WTC final: Parthiv Patel,"Ex-India wicketkeeper-batsman Parthiv Patel has backed Cheteshwar Pujara to score the highest runs in the WTC final against New Zealand, beginning June 18. ""If India lose early wickets [and] Pujara bats for three-four hours in this Test match, I think India will be in a very good position,"" Parthiv explained. Pujara was India's second-highest scorer in Australia Tests. ",sports
India's Olympic-bound athletes to get 2nd COVID-19 dose after 4 weeks,"The Olympic-bound athletes and Indian officials will receive their second dose of COVID-19 vaccine after four weeks of the first dose, said IOA President Narinder Batra on Monday. The IOA on Sunday said 120 athletes and 27 para-athletes have so far received at least one dose of the vaccine and there are 62 fully vaccinated athletes, including four para-athletes.",sports
"Both Ashwin, Jadeja should play in WTC Final: MSK Prasad","Ex-Team India chief selector MSK Prasad has said that it'll be a ""big blunder"" if off-spinner Ravichandran Ashwin is dropped from the playing XI in the WTC final. ""I know that [English] conditions are going to be different, but the kind of experience he has...all the five bowlers should play,"" Prasad stated, adding that Ravindra Jadeja should also be included. ",sports
Hearing people say Robinson should never play again ridiculous: Vaughan,"Former England captain Michael Vaughan has said that ECB has, by suspending Ollie Robinson from international cricket pending investigation over his old racist and sexist tweets, dealt with the pacer in a fair way. ""But hearing some say he should never play again is utterly ridiculous...he will play against India and he should,"" he added. ",sports
Our thinking can change after 10 years: Aakash on Robinson's suspension,"Talking about England pacer Ollie Robinson's suspension from international cricket over his nine-year-old racist and sexist tweets, commentator Aakash Chopra said that thinking can change after ten years. ""We all make mistakes...we might disrespect someone [today] but ten years down the line, we might regret that. This can happen to all of us, let's be fair,"" he stated.",sports
I don't count goals: Chhetri on surpassing Messi's international tally,"On being asked if he is counting the number of his international goals, Indian football team captain Sunil Chhetri said, ""I don't [count]. Once I'm done in ten years we will talk about all my goals."" Chhetri scored twice against Bangladesh on Monday to become the second-highest active international goalscorer, surpassing Argentina forward Lionel Messi.",sports
Team India to get 20-day break from bio-bubble after WTC final: Report,"Team India will get a 20-day break from the bio-bubble in England after the WTC final against New Zealand, a report has claimed. ""The group will head off for the break on June 24 and then regroup again around July 14 to prepare for the Test series against England,"" it said. The five-Test series against England begins on August 4. ",sports
"iPhones, house, gold bars among prizes for COVID-19 vaccination in Hong Kong","Companies in Hong Kong are offering iPhones, a house, Tesla car, gold bars and cash via lotteries as incentive prizes to encourage COVID-19 vaccination. Billionaire Li Ka-shing's CK Group is giving away HK$20 million (₹18.80 crore) in shopping vouchers to those who received both doses. Some companies, restaurants and colleges are offering cash payouts and extra time off for vaccination.",world
El Salvador becomes first country to make Bitcoin legal tender,"El Salvador has become the first country in the world to officially adopt Bitcoin as legal tender. El Salvador President Nayib Bukele shared the news on Twitter, writing, ""Bitcoin Law has been approved by a supermajority in Salvadoran Congress. 62 out of 84 votes! History!"" Bukele had earlier said that the move will improve lives and the future of millions.",world
Cars fall into a sinkhole after it suddenly opens up in Jerusalem; video viral,"At least three cars fell into a sinkhole which opened up suddenly at a parking lot of a hospital in Jerusalem. A video of the incident has gone viral on social media and shows cars tumbling into the pit that grew in size as its surrounding walls collapsed.  The hospital had recently opened up the parking lot, according to reports.",world
Biden's budget proposal replaces the word 'mothers' with 'birthing people',"US President Joe Biden's 2022 budget proposal replaced ""mothers"" with ""birthing people"". ""Biden's budget would literally...replace 'mother' with the woke...term 'birthing people'...Why does Biden want to cancel mothers?"" wrote Heritage Action Executive Director Jessica Anderson. However, non-profit organisation NARAL defended it and said, ""It's not just cis-gender women that can get pregnant.""


",world
Which are the 10 most liveable cities as per Economist Intelligence Unit's survey?,"As per Economist Intelligence Unit's The Global Liveability Index 2021, New Zealand's Auckland has been ranked as the most liveable city owing to its ability to contain the coronavirus pandemic faster than other cities around the world. Auckland is followed by Japan's Osaka, Australia's Adelaide and New Zealand's Wellington. As many as four Australian cities feature in the top 10.",world
Pakistan administers 1 crore COVID-19 vaccine doses,"Pakistan has administered one crore COVID-19 vaccine doses so far, a minister said. Pakistan's Planning and Development Minister Asad Umar also asked people to get themselves vaccinated to return to a normal life. Pakistan has reported over 9.3 lakh COVID-19 cases and more than 21,000 deaths due to the pandemic, according to the World Health Organization (WHO).",world
China building new COVID-19 vaccine plant to boost production,"China is building a new COVID-19 vaccine factory capable of producing 50 to 100 crore doses annually, state-backed Science and Technology Daily reported. The vaccine, developed by the Institute of Medical Biology of the Chinese Academy of Medical Sciences, is one of seven shots approved for use in China. Construction is expected to be completed by the end of 2021.",world
US eases COVID-19 travel warning to Japan ahead of Olympics,"The United States on Tuesday eased its restrictions against travel to Japan ahead of the Tokyo Olympics. Last month, the US had urged people against travelling to Japan due to a new COVID-19 wave. The Olympic games, which were postponed last year due to the coronavirus pandemic, are scheduled to be held in Tokyo from July 23 to August 8. ",world
"47,000 live animals sold in Wuhan before COVID-19 began: Study","Over 47,000 live animals were sold in Wuhan markets before the first cases of COVID-19 were reported there in late 2019, new study showed. It said around 38 species were sold in Wuhan markets between May 2017-November 2019. The wild animals were reportedly butchered on site in markets and stored in unhygienic conditions that can allow viruses to hop species.",world
Biden's tech advisor reveals over $1 million investment in Bitcoin,"US President Joe Biden's top tech antitrust advisor Tim Wu holds between $1 million and $5 million in Bitcoin, POLITICO reported, citing Wu's personal financial disclosure. Wu, who is known for coining the term ""net neutrality"", also owns $100,001 to $250,000 in Filecoin, a storage platform for cryptocurrency. His investment in Bitcoin is the largest holding in his financial portfolio.",world
More countries should ban them: Trump on Nigeria banning Twitter,"Ex-US President Donald Trump congratulated Nigeria for banning Twitter and said, ""More countries should ban Twitter and Facebook for not allowing free and open speech."" Trump added, ""Who are they to dictate good and evil if they themselves are evil? Perhaps I should have done it while I was President."" Nigeria suspended Twitter after it deleted President Muhammadu Buhari's tweet.",world
China and India should respect each other: Chinese envoy,"Chinese Ambassador to India Sun Weidong said that India and China should respect each other and engage in dialogue to resolve their differences. ""It's normal for countries to have differences. China and India should treat each other equally and find a solution acceptable to both sides,"" he said. Sun added that both countries should cooperate and not confront each other.",world
"30,000 nurses go on strike in New Zealand demanding better pay","About 30,000 nurses across New Zealand on Wednesday walked off their jobs demanding better pay and working conditions. The nationwide strike came after their negotiations with government failed. They're demanding a 17% increase in pay which we can't afford, the government said. Earlier this week, New Zealand Nurses Organisation (NZNO) rejected a 1.4% pay hike proposed by District Health Board.",world
"China, ASEAN agree to avoid provocations in South China Sea","China and the Association of Southeast Asian Nations (ASEAN) have agreed to exercise restraint in the South China Sea and avoid actions that could escalate tensions, the regional bloc said on Tuesday. ASEAN and China also plan to speed up resuming negotiations over the code of conduct (COC) in the sea. China claims almost all of the South China Sea.",world
Meghan Markle releases 1st children's book based on father-son bond,"UK's Duchess of Sussex, Meghan Markle, has released her first children's book titled ""The Bench"", inspired by her husband Prince Harry's bond with their son Archie. The book outlines the special father-son relationship as seen through the mother's eyes.  The book is dedicated to ""the man and the boy who make my heart go pump-pump"", Meghan said in the foreword. ",world
Destroyed Gaza media building used by Hamas to jam Iron Dome: Israel,"Israel has said that the media building it destroyed in an airstrike in Gaza during last month's conflict was being used by Hamas to ""jam"" Israel's Iron Dome. The building housed international media outlets, including The Associated Press (AP) and Al Jazeera. Explaining the attack to AP, Israeli Ambassador to US Gilad Erdan also offered help in rebuilding its offices.",world
Syria activates air defence against Israeli aggression: State media,"Syria's air defence system has been activated against an ""Israeli aggression"" in Damascus, state news agency SANA said. The Israeli missiles on Tuesday night targeted Syria's military sites, SANA reported. The Syrian Army has claimed that it has shot down some missiles fired by Israel. Israeli planes had reportedly arrived in Syria from Lebanon's airspace following ""explosions in Damascus"". ",world
 Over 80 crore COVID-19 vaccine doses administered in China so far,"More than 80 crore doses of coronavirus vaccines have been administered in China as of June 8, according to the National Health Commission data on Wednesday. The country had administered about 1.48 crore coronavirus vaccine doses on Tuesday, the data showed. COVID-19 has infected more than 1.03 lakh people in China, according to the Johns Hopkins University tracker. ",world
UN court upholds life sentence of 'Butcher of Bosnia' over genocide,"A UN tribunal upheld the conviction of ex-Bosnian Serb military chief Ratko Mladic for genocide and other offences during Bosnia's 1992-95 war and confirmed his life sentence. Mladic dubbed the ""Butcher of Bosnia"", was also found guilty of genocide for directing the mass executions of over 8,000 Muslim men and boys in the eastern Bosnian town of Srebrenica in 1995.",world
Will always support Myanmar in choosing its own path: China,"China will always support Myanmar in choosing its own developmental path, Chinese Foreign Minister Wang Yi told his Myanmar counterpart Wunna Maung Lwin on Tuesday. Wang assured Lwin that China's friendly policy towards Myanmar was not affected by changes to Myanmar's domestic and external situation, an official statement said. The two men met in China's Chongqing on Tuesday.",world
"Ex-Haryana min Kamla Verma, undergoing black fungus treatment, passes away","Former Haryana Health Minister and veteran BJP leader Kamla Verma, who was undergoing treatment for black fungus after recovering from COVID-19, passed away on Tuesday evening. She was 93. CM Manohar Lal Khattar tweeted, ""An era has come to an end with the death of Kamla Verma, the first woman President of Haryana state BJP and three-time cabinet minister.""",politics
"Nusrat claims her marriage is invalid, says she separated from Nikhil long back ","TMC MP Nusrat Jahan has said her marriage to businessman Nikhil Jain is invalid as interfaith marriages require validation under the Special Marriage Act in India, which never happened. Thus, the question of divorce does not arise, she said. She added, ""Our separation happened long back...I didn't speak about it as I intended to keep my private life to myself.""",politics
"Nikhil illegally took my money, his family kept my jewellery after separation: Nusrat","Speaking about her separation from businessman Nikhil Jain, actress-politician Nusrat Jahan said, ""The one who claims to be 'rich' and 'been used by me' has been taking money...by accessing my bank accounts illegally...even post-separation."" Nusrat alleged that Nikhil's family has illegally held back her assets, including her jewellery. She claimed that their marriage was never valid in India.",politics
I was wrong: Chidambaram after criticising PM over COVID-19 vaccines,"Congress leader P Chidambaram on Monday withdrew his remarks criticising PM Narendra Modi. Chidambaram tweeted, ""I told ANI 'please tell us which state government demanded that it should be allowed to directly procure vaccines'. Social media activists have posted the copy of the letter of West Bengal CM to PM making such a request. I was wrong. I stand corrected.""",politics
"It's been 10 months but party hasn't resolved my, Raj Cong MLAs' issues: Pilot","Congress MLA Sachin Pilot has said that the panel formed to look into issues raised by him and other Rajasthan Congress MLAs after the political crisis in the state last year, hasn't resolved the issue even after 10 months. ""I was given to understand that there would be swift action,"" Pilot added. The Congress had constituted the panel last year.",politics
"Nothing wrong in meeting PM, not like I met Nawaz Sharif: Maha CM","Maharashtra Chief Minister Uddhav Thackeray, who had a one-on-one meeting with Prime Minister Narendra Modi on Tuesday, said that they may have political differences but it doesn't mean their relationship is broken. ""I didn't go to meet (former Pakistan PM) Nawaz Sharif. So if I meet him (PM) separately in person, there is nothing wrong with it,"" he remarked.",politics
Congress leader Jitin Prasada joins BJP in presence of Piyush Goyal in Delhi,"Former Union Minister and senior Congress leader Jitin Prasada joined BJP in the presence of Union Minister Piyush Goyal at the party headquarters in Delhi on Wednesday. Prasada was part of the ""G-23"" or group of 23 Congress leaders who had written to party chief Sonia Gandhi last year calling for sweeping reforms, collective decision-making and ""full-time, visible leadership"".",politics
Oppn criticises Kerala govt's plan to renovate CM residence amid COVID ,"The Opposition in Kerala has criticised the state government for its decision to renovate CM Pinarayi Vijayan's official residence, reportedly at a cost of nearly ₹1 crore amid COVID-19. While the Opposition demanded an explanation for this, state Finance Minister K N Balagopal said conservation of such buildings is important and steps are being taken to reduce its cost. ",politics
"Swapan Dasgupta, Mahesh Jethmalani, others take oath as Rajya Sabha members","BJP leader Swapan Dasgupta along with senior advocate Mahesh Jethmalani, journalist John Brittas and CPI(M) leader V Sivadasan on Tuesday took oath as members of Rajya Sabha in the presence of Vice President Venkaiah Naidu. While Brittas and Sivadasan are newly elected members, Jethmalani is nominated and Dasgupta is a re-nominated member of the Upper House. ",politics
Why pvt hospitals allowed to charge for vaccination?: Robert Vadra,"Congress leader Priyanka Gandhi Vadra's husband Robert Vadra asked on Tuesday as to why 25% of private hospitals are being allowed to charge a certain amount for COVID-19 vaccination. He said people are unaware of which centre is giving free vaccines. He added, ""People have no knowledge about vaccines, its complications."" He asked why vaccines were sent to foreign countries.",politics
How does she even matter: Shiv Sena MP on Choksi's 'girlfriend',"After fugitive businessman Mehul Choksi’s alleged girlfriend Barbara Jarabica appeared on an Indian TV channel, Shiv Sena MP Priyanka Chaturvedi said, ""How does she even matter? The bottom line is a fraudster is on the run and GoI has miserably failed to bring him to book."" MEA has said that India will ensure Choksi's return to the country. ",politics
Seek MSME loan repayment moratorium from Centre: TN CM to 12 CMs,"Tamil Nadu Chief Minister MK Stalin on Tuesday wrote to his counterparts in 12 states to come together to seek from the Centre a moratorium on loan repayment by MSMEs and small businesses. The Chief Minister pointed out the ""asymmetry in the treatment of borrowers, particularly MSME units and small borrowers, during the first and second waves of COVID-19"".",politics
Madras HC strikes down Goondas Act against TN BJP's Kalyanaraman,"The Madras High Court struck down the detention of Tamil Nadu BJP leader Kalyanaraman under the Goondas Act over his comments against the Muslim community and Prophet Mohammed. The court was hearing a petition filed by Shanthi, his wife, who submitted that her husband was falsely booked under the Act and it cannot be invoked for hate speech.",politics
"Sonia, Rahul don't have confidence in Indian vaccine: Pralhad Joshi","BJP leader and Parliamentary Affairs Minister Pralhad Joshi said that Congress leaders Sonia Gandhi and Rahul Gandhi haven't got vaccinated against COVID-19 yet and that they don't have faith in Indian vaccines. ""When we started vaccination in January, Congress leaders raised questions on vaccine efficacy. Now, they (other Congress leaders) are taking the vaccine,"" he added. ",politics
"Tikait to meet Mamata today to discuss 'agriculture, local farmers'","BKU leader Rakesh Tikait is scheduled to meet West Bengal CM Mamata Banerjee on Wednesday in Kolkata, he said. ""We will talk about agriculture, health, education and local farmers,"" he added. ""Government should have open talks with farmers of Bengal over policy. In UP, meetings are held every month with DC. This should be implemented in all states,"" Tikait stated.",politics
Premature: Fadnavis on Maha CM meet with PM over Maratha quota,"Referring to Maharashtra CM Uddhav Thackeray's meeting with PM Narendra Modi over Maratha reservation, former CM Devendra Fadnavis said that it was ""premature"" as the state government has not taken its decision. He added, ""Bhosale Committee report on Maratha reservation has recommended the formation of State Commission for Backward Classes. But before acting on the report, they met PM.""",politics
Reimburse the state governments: Yechury after new vaccine policy ,"CPI(M) General Secretary Sitaram Yechury on Tuesday said,"" PM Narendra Modi has been forced to reverse his own irrational vaccine policy under public pressure and Supreme Court orders. Now the Centre must reimburse the state governments who were coerced to make advance payments to vaccine producers."" PM Modi had said that the Centre would buy 75% of the vaccines. ",politics
People won't like threats of Prez Rule against TMC govt: BJP leader,"Rajib Banerjee, who left TMC for BJP before the West Bengal elections, tweeted on Tuesday that people wouldn't take the threats of President's Rule ""against a government elected with a huge mandate lightly"". He also suggested rising above politics to help those affected by coronavirus and Cyclone Yaas. Meanwhile, he also skipped BJP's meeting reportedly due to personal reasons.",politics
"TMC turncoats Mukul Roy, Rajib Banerjee absent from WB BJP meeting","BJP leaders Mukul Roy, Rajib Banerjee and Samik Bhattacharya remained absent from a meeting of the West Bengal BJP on Tuesday. Roy, who is BJP's national Vice President, and Banerjee joined the party after leaving the Trinamool Congress. State BJP President Dilip Ghosh said Roy didn't attend the meeting as his wife is unwell and Banerjee had personal reasons.
",politics
No instability in the BJP govt in MP: Narendra Singh Tomar,"There is no instability in the Shivraj Singh Chouhan-led BJP government in Madhya Pradesh, Union Agriculture Minister Narendra Singh Tomar said. ""The party has selected Shivraj Ji...Congress has no right to talk about the BJP's chief minister,"" he added. ""BJP is totally united and organised under the leadership of Shivraj Singh Chouhan and VD Sharma,"" Tomar stated.",politics
